42;34;10;22;27;46
32;18;38;8;39;37
22;42;8;24;18;1
20;36;38;39;36;2
32;45;31;5;15;43
17;49;12;46;9;4
11;9;6;41;18;42
14;15;28;5;39;6
28;8;22;5;21;34
20;41;27;38;20;25
39;35;28;17;2;45
18;30;41;28;9;43
24;16;16;18;24;8
19;9;36;28;43;43
13;40;30;2;7;26
19;4;34;48;46;42
46;49;18;43;48;47
17;5;37;20;49;48
12;30;23;36;49;9
6;23;49;22;46;30
17;48;3;33;3;30
12;47;16;3;40;16
47;1;46;37;18;22
25;13;22;30;29;19
1;32;30;11;14;13
48;23;14;25;1;3
3;9;18;6;25;17
41;30;34;5;45;22
25;17;22;4;32;19
2;14;14;16;16;32
30;43;25;21;33;35
7;47;28;42;12;38
35;11;6;23;33;10
7;14;34;3;45;22
29;48;4;2;11;45
45;18;15;13;34;35
22;11;46;39;27;3
29;6;18;27;14;46
45;45;46;22;21;39
44;38;13;2;36;21
2;31;46;15;5;35
11;11;24;38;8;21
41;15;37;40;14;30
36;46;26;4;3;25
29;2;32;41;17;23
25;38;41;7;3;10
7;18;31;11;17;19
36;11;11;45;10;9
36;42;14;1;36;3
7;40;31;39;35;40
10;20;26;38;2;39
44;38;25;5;2;5
42;17;48;27;31;16
42;29;2;37;9;17
49;27;28;18;43;20
5;42;22;10;38;13
5;1;10;20;28;41
8;35;42;24;9;27
32;17;23;24;26;6
14;19;5;5;41;33
16;7;39;44;49;14
38;33;38;26;21;25
2;27;21;5;43;17
47;25;42;20;1;21
6;34;46;6;16;12
27;10;8;7;8;13
23;5;32;22;43;9
43;4;18;41;4;20
26;40;38;30;32;47
10;7;42;34;10;34
26;35;23;28;32;11
10;31;10;43;37;44
24;21;42;9;21;48
34;9;36;49;15;3
41;21;22;2;15;2
38;13;1;15;15;12
8;2;6;41;40;42
16;37;46;40;47;38
39;1;46;9;24;30
14;3;44;1;48;3
22;22;47;18;39;28
11;39;29;19;10;21
39;19;26;18;26;45
4;11;38;36;4;21
28;11;30;8;35;32
31;30;22;34;49;18
49;37;49;38;20;16
26;38;16;3;22;28
21;34;27;1;5;25
21;2;6;32;33;23
33;16;26;47;11;4
43;29;21;41;31;24
3;38;42;1;49;27
39;34;30;45;12;47
16;33;24;36;24;32
3;17;39;47;20;12
34;4;49;15;22;4
14;35;19;43;36;34
27;11;20;43;3;10
9;32;30;40;4;15
36;15;7;8;47;3
7;38;48;3;49;41
30;30;10;23;31;40
3;22;13;1;27;45
19;42;35;38;3;10
28;9;12;20;30;27
14;47;2;36;10;37
9;49;44;14;25;22
49;27;19;6;24;21
49;27;1;2;20;46
7;18;27;27;33;3
36;35;47;41;16;33
37;45;19;6;18;6
5;19;3;33;2;1
42;27;47;37;19;19
3;3;15;10;37;47
22;46;14;7;20;6
22;17;14;1;24;4
19;49;28;15;3;14
12;1;8;22;19;43
10;9;33;15;2;5
21;39;49;36;48;42
23;3;24;16;19;40
37;31;19;41;42;37
40;27;41;20;26;48
19;32;30;15;3;45
9;26;34;41;46;11
3;48;45;39;43;12
2;8;42;18;43;3
32;10;10;47;46;13
35;13;28;3;9;37
32;14;47;32;4;40
34;4;15;3;9;12
11;42;30;33;42;12
20;31;48;30;21;16
35;22;3;44;37;12
5;44;37;30;24;41
23;20;34;31;31;14
41;48;46;7;27;21
